Satisfaction,Observation,5ghi,2ghi,5gcm,5gcs,Alph,Acppc,Tobl,Blp10al,Macppc,Po5co5,Rmph,Rsph,Stco,Trcpc,Tume,Umempd,Umegmpd,Waps,War,Eain,Eaua,strn
Somewhat Satisfied,53,Yes,No,0,0,958,0.5,0,0,1,Yes,3-Feb,2,1,1,1,1,1,189,378,,,No
Satisfied,54,No,No,0,0,45980,2.4,4.55,0.99,6,No,3-Feb,4,11,12,15,5,3,305,3660,8,Don't know,No
Unsatisfied,55,No,No,0,0,37017,2,44.79,12.1,4,No,3-Feb,2,21,6,0,0,0,71,1562,6,2,No
Satisfied,56,No,No,1,2,7551,1.33,0.47,0.62,3,No,3-Feb,1,10,4,2,1,1,266.09,2927,8,8,No
Somewhat Satisfied,57,No,No,3,6,37242,1,115.6,31.04,3,No,3-Feb,3,15,3,4,2,2,742.25,11876,5,,No
Satisfied,58,No,No,0,0,64708,1.5,0.36,0.06,6,No,3-Feb,2,22,6,0,0,0,723.35,16637,9,8,Yes
Unsatisfied,59,No,No,4+,111,28403,1.67,5.13,1.81,3,No,3-Feb,1,21,5,3,2,2,359.36,7906,6,4,No
Somewhat Satisfied,60,Yes,No,0,0,10260,1.33,5.15,5.02,3,No,3-Feb,1,15,4,3,2,2,1735.19,27763,7,8,Yes
Satisfied,61,Yes,No,0,0,1878,2,3.07,16.33,2,No,3-Feb,1,5,2,0,0,0,5.33,32,9,Don't know,Yes
Satisfied,62,No,Yes,0,0,34008,1,6.76,1.99,3,No,3-Feb,2,11,3,0,0,0,3123.5,37482,8,Don't know,Yes
Unsatisfied,63,No,Yes,0,0,36246,4.67,2842.73,784.27,9,No,3-Feb,3,18,14,0,0,0,87.95,1671,9,8,No
Unsatisfied,64,No,No,0,0,40911,2.33,45.56,11.14,6,Yes,3-Feb,1,20,7,0,0,0,123.57,2595,8,10,Yes
Somewhat Satisfied,65,No,No,0,0,24390,1.33,28.82,11.82,4,Yes,3-Feb,4,15,4,0,0,0,78.75,1260,,,Yes
Unsatisfied,66,No,Yes,0,0,6014,5,0.04,0.07,5,Yes,3-Feb,1,11,5,0,0,0,56.33,676,5,6,No
Somewhat Satisfied,67,No,No,0,0,43974,2.67,5.78,1.31,4,No,3-Feb,4,14,8,4,2,2,581.4,8721,,,No
Satisfied,68,No,No,0,0,27651,1.33,259.43,93.82,4,No,3-Feb,1,17,4,0,0,0,2251.56,40528,10,7,Yes
Unsatisfied,69,No,No,1,3,26754,0.33,57.61,21.53,1,No,3-Feb,2,16,1,0,0,0,74.12,1260,8,10,Yes
Satisfied,70,No,No,2,4,,0.67,,,2,No,3-Feb,3,9,2,0,0,0,6482.3,64823,8,10,No
Unsatisfied,71,Yes,No,0,0,6868,4.5,0.79,1.15,5,No,3-Feb,1,7,9,0,0,0,545.25,4362,4,3,No
Satisfied,72,Yes,No,0,0,35073,2,1.33,0.38,6,No,3-Feb,3,12,6,0,0,0,331.08,4304,5,10,No
Unsatisfied,73,No,Yes,1,2,62049,0.33,17.01,2.74,1,No,3-Feb,1,26,1,2,1,1,570.15,15394,6,3,Yes
Unsatisfied,74,No,No,3,8,13425,1.33,0.14,0.1,2,No,3-Feb,5,5,4,0,0,0,77.17,463,1,5,No
Somewhat Satisfied,75,No,Yes,1,2,22848,1.33,54.16,23.7,2,No,3-Feb,1,10,4,2,1,1,2652,29172,9,9,Yes
